#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
263839	852495	948461	32893	852757	YBR196C	b3962	PGI1	sthA	CDC30|glucose-6-phosphate isomerase|L000001410|L000001409	ECK3954|JW5551|sth|udhA	Synthetic Rescue	genetic	Heux S (2008)	PUBMED:18036177	559292	511145	Low Throughput	-	-	Expression of the E. coli transhydrogenase Udha/sthA can partially restore the growth of the ENYpgi1 yeast mutant on glucose.|S. cerevisiae does not have a functional ortholog of the E. coli transhydrogenase UdhA/sthA.  This was not a cross-species complementation experiment.	-	BIOGRID	P12709	-	NP_009755	P27306	-	NP_418397	APO:0000094	metabolism and growth	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
2568140	946649	947680	850993	851993	b2118	b3170	yehI	rimP	ECK2109|JW2105	ECK3159|JW5533|yhbC	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P33346	-	NP_416621	P0A8A8	-	NP_417639	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568141	947320	947680	851647	851993	b2869	b3170	ygeV	rimP	ECK2865|JW2837	ECK3159|JW5533|yhbC	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	Q46802	-	NP_417345	P0A8A8	-	NP_417639	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568142	946789	947437	851130	851757	b2306	b0413	hisP	nrdR	ECK2300|JW2303	ECK0407|JW0403|ribX|ybaD	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P07109	-	NP_416809	P0A8D0	-	NP_414947	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568143	948599	947437	852893	851757	b4093	b0413	phnO	nrdR	ECK4086|JW4054	ECK0407|JW0403|ribX|ybaD	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P16691	-	NP_418517	P0A8D0	-	NP_414947	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568144	945828	947437	850195	851757	b1233	b0413	ychJ	nrdR	ECK1228|JW1221	ECK0407|JW0403|ribX|ybaD	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P37052	-	NP_415749	P0A8D0	-	NP_414947	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568145	946842	947437	851183	851757	b2374	b0413	frc	nrdR	ECK2370|JW2371|yfdW	ECK0407|JW0403|ribX|ybaD	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P69902	-	NP_416875	P0A8D0	-	NP_414947	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568146	947781	945676	852093	850048	b3284	b1108	smg	ycfP	ECK3271|JW3245	ECK1094|JW5158	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A828	-	NP_417743	P0A8E1	-	NP_415626	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568147	945880	945676	850247	850048	b1324	b1108	tpx	ycfP	ECK1320|JW1317|yzzJ	ECK1094|JW5158	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A862	-	NP_415840	P0A8E1	-	NP_415626	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568148	946555	945676	850902	850048	b2032	b1108	wbbK	ycfP	ECK2026|JW2017|yefI	ECK1094|JW5158	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P37751	-	NP_416536	P0A8E1	-	NP_415626	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568149	948215	944809	852517	849210	b3704	b0119	rnpA	yacL	ECK3696|JW3681	ECK0118|JW0115	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A7Y8	-	NP_418159	P0A8E5	-	NP_414661	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568150	947867	944809	852178	849210	b3357	b0119	crp	yacL	ECK3345|JW5702|cap|csm	ECK0118|JW0115	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0ACJ8	-	NP_417816	P0A8E5	-	NP_414661	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568151	946979	946979	851318	851318	b2498	b2498	upp	upp	ECK2494|JW2483|uraP	ECK2494|JW2483|uraP	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8F0	-	NP_416993	P0A8F0	-	NP_416993	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568152	946597	946597	850944	850944	b2066	b2066	udk	udk	ECK2060|JW2051	ECK2060|JW2051	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8F4	-	NP_416570	P0A8F4	-	NP_416570	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568153	948559	945385	852853	849761	b4058	b0779	uvrA	uvrB	ECK4050|JW4019|dar	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A698	-	NP_418482	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568154	945472	945385	849846	849761	b1712	b0779	ihfA	uvrB	ECK1710|JW1702|hid|himA	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A6X7	-	NP_416227	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568155	945385	945385	849761	849761	b0779	b0779	uvrB	uvrB	ECK0768|JW0762|dar-1|dar-6	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8F8	-	NP_415300	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568156	945570	945385	849944	849761	b0956	b0779	matP	uvrB	ECK0947|JW0939|ycbG	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8N0	-	NP_415476	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568157	945023	945385	849414	849761	b0969	b0779	tusE	uvrB	ECK0960|JW0952|yccK	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0AB18	-	NP_415489	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568158	945272	945385	849651	849761	b0687	b0779	seqA	uvrB	ECK0675|JW0674|hsm-1	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0AFY8	-	NP_415213	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568159	947133	945385	851467	849761	b1258	b0779	yciF	uvrB	ECK1252|JW1250	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P21362	-	NP_415774	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568160	945071	945385	849460	849761	b0467	b0779	priC	uvrB	ECK0461|JW0456	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P23862	-	NP_415000	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568161	948451	945385	852747	849761	b3954	b0779	yijO	uvrB	ECK3945|JW3926	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P32677	-	NP_418389	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568162	947155	945385	851487	849761	b2675	b0779	nrdE	uvrB	ECK2669|JW2650	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P39452	-	NP_417161	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568163	946571	945385	850918	849761	b2028	b0779	ugd	uvrB	ECK2023|JW2010|pagA|pmrE|udg|yefA	ECK0768|JW0762|dar-1|dar-6	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P76373	-	NP_416532	P0A8F8	-	NP_415300	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568164	947203	947203	851535	851535	b1913	b1913	uvrC	uvrC	ECK1912|JW1898	ECK1912|JW1898	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8G0	-	NP_416423	P0A8G0	-	NP_416423	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568165	946347	945069	850704	849458	b1836	b0422	yebV	xseB	ECK1835|JW5302	ECK0416|JW0412|yajE	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P64503	-	NP_416350	P0A8G9	-	NP_414956	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568166	947804	948363	852116	852660	b3304	b3866	rplR	yihI	ECK3291|JW3266	ECK3859|JW3837	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0C018	-	NP_417763	P0A8H6	-	NP_418302	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568167	945180	944749	849566	849152	b0587	b0006	fepE	yaaA	ECK0580|JW0579	ECK0006|JW0005	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P26266	-	NP_415119	P0A8I3	-	NP_414547	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568168	948290	948290	852589	852589	b3780	b3780	rhlB	rhlB	ECK3772|JW3753|mmrA?	ECK3772|JW3753|mmrA?	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8J8	-	NP_418227	P0A8J8	-	NP_418227	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568169	945506	945506	849880	849880	b0893	b0893	serS	serS	ECK0884|JW0876	ECK0884|JW0876	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8L1	-	NP_415413	P0A8L1	-	NP_415413	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568170	945819	945819	850186	850186	b1248	b1248	yciU	yciU	ECK1242|JW1240	ECK1242|JW1240	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8L7	-	NP_415764	P0A8L7	-	NP_415764	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568171	946222	946222	850582	850582	b1719	b1719	thrS	thrS	ECK1717|JW1709	ECK1717|JW1709	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8M3	-	NP_416234	P0A8M3	-	NP_416234	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568172	947036	945570	851375	849944	b2566	b0956	era	matP	ECK2564|JW2550|sdgE	ECK0947|JW0939|ycbG	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P06616	-	NP_417061	P0A8N0	-	NP_415476	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568175	946796	945570	851137	849944	b2316	b0956	accD	matP	ECK2310|JW2313|dedB|usg	ECK0947|JW0939|ycbG	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A9Q5	-	NP_416819	P0A8N0	-	NP_415476	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568176	947050	945570	851388	849944	b2573	b0956	rpoE	matP	ECK2571|JW2557|sigE	ECK0947|JW0939|ycbG	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0AGB6	-	NP_417068	P0A8N0	-	NP_415476	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568177	946838	945570	851179	849944	b4290	b0956	fecB	matP	ECK4280|JW4250	ECK0947|JW0939|ycbG	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P15028	-	NP_418710	P0A8N0	-	NP_415476	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568178	945103	945570	849492	849944	b1597	b0956	asr	matP	ECK1592|JW5826	ECK0947|JW0939|ycbG	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P36560	-	NP_416114	P0A8N0	-	NP_415476	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568179	945814	945570	850181	849944	b3021	b0956	mqsA	matP	ECK3012|JW2989|ygiT	ECK0947|JW0939|ycbG	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	Q46864	-	NP_417493	P0A8N0	-	NP_415476	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568180	946262	945490	850621	849864	b0058	b0885	rluA	aat	ECK0059|JW0057|yabO	ECK0876|JW0868|ycaA	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0AA37	-	NP_414600	P0A8P1	-	NP_415405	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568181	945490	947461	849864	851780	b0885	b2962	aat	yggX	ECK0876|JW0868|ycaA	ECK2957|JW2929	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8P1	-	NP_415405	P0A8P3	-	NP_417437	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568182	947362	947362	851685	851685	b2894	b2894	xerD	xerD	ECK2889|JW2862|xprB	ECK2889|JW2862|xprB	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8P8	-	NP_417370	P0A8P8	-	NP_417370	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568183	947956	948443	852265	852740	b3448	b0881	yhhA	clpS	ECK3432|JW3413	ECK0872|JW0865|yljA	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0ADX7	-	NP_417905	P0A8Q6	-	NP_415402	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568184	948099	2847698	852406	853448	b3583	b4480	sgbE	hdfR	ECK3572|JW3555|yiaS	ECK3756|JW5607|apeR?|yifA|yifD	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P37680	-	NP_418040	P0A8R9	-	YP_026246	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568185	946256	2847698	850616	853448	b1744	b4480	astE	hdfR	ECK1742|JW1733|ydjS	ECK3756|JW5607|apeR?|yifA|yifD	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P76215	-	NP_416258	P0A8R9	-	YP_026246	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568186	946801	945577	851142	849951	b1641	b0964	slyB	yccT	ECK1637|JW1633	ECK0955|JW0947	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A905	-	YP_025304	P0A8X4	-	NP_415484	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568187	947130	945577	851464	849951	b2669	b0964	stpA	yccT	ECK2663|JW2644|hnsB|hsm-3|rsv	ECK0955|JW0947	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0ACG1	-	NP_417155	P0A8X4	-	NP_415484	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568188	946285	945577	850642	849951	b1772	b0964	ydjH	yccT	ECK1770|JW5289	ECK0955|JW0947	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P77493	-	NP_416286	P0A8X4	-	NP_415484	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568189	947503	948204	851820	852509	b1021	b3697	pgaD	yidA	ECK1011|JW1006|hmsS|ycdP	ECK3689|JW3674	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P69432	-	NP_415540	P0A8Y5	-	NP_418152	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568190	944821	948907	849222	853184	b0098	b0736	secA	ybgC	ECK0099|JW0096|azi|pea|prlD	ECK0725|JW0726	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P10408	-	NP_414640	P0A8Z3	-	NP_415264	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568191	946304	948894	850661	853171	b1807	b4373	tsaB	rimI	ECK1805|JW1796|rpf|yeaZ	ECK4364|JW4335	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P76256	-	NP_416321	P0A944	-	NP_418790	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568192	947583	946367	851899	850724	b3076	b1850	ebgA	eda	ECK3066|JW5511	ECK1851|JW1839|hga|kdgA|kga	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P06864	-	YP_026199	P0A955	-	NP_416364	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568193	946367	946367	850724	850724	b1850	b1850	eda	eda	ECK1851|JW1839|hga|kdgA|kga	ECK1851|JW1839|hga|kdgA|kga	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A955	-	NP_416364	P0A955	-	NP_416364	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568194	948884	946400	853162	850757	b4355	b1887	tsr	cheW	ECK4345|JW4318|cheD	ECK1888|JW1876	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P02942	-	NP_418775	P0A964	-	NP_416401	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568195	948218	948218	852520	852520	b3701	b3701	dnaN	dnaN	ECK3693|JW3678	ECK3693|JW3678	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A988	-	NP_418156	P0A988	-	NP_418156	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568196	945385	946735	849761	851076	b0779	b2243	uvrB	glpC	ECK0768|JW0762|dar-1|dar-6	ECK2235|JW2237|glpB	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8F8	-	NP_415300	P0A996	-	NP_416746	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568197	946249	944786	850609	849188	b2517	b0095	rlmN	ftsZ	ECK2513|JW2501|yfgB	ECK0096|JW0093|sfiB|sulB	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P36979	-	NP_417012	P0A9A6	-	NP_414637	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568198	948752	944786	853041	849188	b4233	b0095	mpl	ftsZ	ECK4228|JW4192|tpl|yjfG	ECK0096|JW0093|sfiB|sulB	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P37773	-	NP_418654	P0A9A6	-	NP_414637	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568199	945212	944786	849597	849188	b0599	b0095	ybdH	ftsZ	ECK0593|JW0592	ECK0096|JW0093|sfiB|sulB	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P45579	-	NP_415132	P0A9A6	-	NP_414637	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568200	946869	944786	851209	849188	b2412	b0095	zipA	ftsZ	ECK2407|JW2404	ECK0096|JW0093|sfiB|sulB	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P77173	-	NP_416907	P0A9A6	-	NP_414637	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568201	945670	948424	850042	852721	b1117	b3925	lolD	glpX	ECK1103|JW5162|ycfV	ECK3917|JW3896	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P75957	-	NP_415635	P0A9C9	-	NP_418360	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568202	947567	944780	851883	849182	b3067	b0064	rpoD	araC	ECK3057|JW3039|alt	ECK0065|JW0063	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P00579	-	NP_417539	P0A9E0	-	NP_414606	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568203	948397	944780	852694	849182	b3905	b0064	rhaS	araC	ECK3898|JW3876|rhaC2	ECK0065|JW0063	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P09377	-	NP_418341	P0A9E0	-	NP_414606	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568204	948544	944780	852838	849182	b4043	b0064	lexA	araC	ECK4035|JW4003|exrA|spr|tsl|umuA	ECK0065|JW0063	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A7C2	-	NP_418467	P0A9E0	-	NP_414606	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568205	948355	944780	852652	849182	b3811	b0064	xerC	araC	ECK3806|JW3784	ECK0065|JW0063	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A8P6	-	NP_418256	P0A9E0	-	NP_414606	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568206	944780	944780	849182	849182	b0064	b0064	araC	araC	ECK0065|JW0063	ECK0065|JW0063	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0A9E0	-	NP_414606	P0A9E0	-	NP_414606	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568207	946856	944780	851197	849182	b2382	b0064	ypdC	araC	ECK2378|JW2379	ECK0065|JW0063	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P77396	-	NP_416883	P0A9E0	-	NP_414606	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
2568208	948736	948567	853028	852861	b4217	b4062	ytfK	soxS	ECK4213|JW5749	ECK4054|JW4023	Two-hybrid	physical	Rajagopala SV (2014)	PUBMED:24561554	511145	511145	High Throughput	-	-	-	-	BIOGRID	P0ADE2	-	NP_418638	P0A9E2	-	NP_418486	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
